PLAYER_NAME,SHOT_POSITION,SHOT_PERCENTAGE
Buddy Hield,Above the Break 3 - Center(C),0.3620689655172414
Buddy Hield,Starry 3 - Left Side Center(LC),0.0
Buddy Hield,Right Corner 3 - Right Side(R),0.4473684210526316
Buddy Hield,Left Corner 3 - Left Side(L),0.3541666666666667
Buddy Hield,Above the Break 3 - Right Side Center(RC),0.37894736842105264
Buddy Hield,Above the Break 3 - Left Side Center(LC),0.35555555555555557
Buddy Hield,Starry 3 - Right Side Center(RC),0.0
Cade Cunningham,Starry 3 - Right Side Center(RC),0.0
Cade Cunningham,Starry 3 - Left Side Center(LC),0.0
Cade Cunningham,Right Corner 3 - Right Side(R),0.42857142857142855
Cade Cunningham,Left Corner 3 - Left Side(L),0.36363636363636365
Cade Cunningham,Above the Break 3 - Right Side Center(RC),0.3333333333333333
Cade Cunningham,Above the Break 3 - Left Side Center(LC),0.3644859813084112
Cade Cunningham,Above the Break 3 - Center(C),0.3711340206185567
Cameron Johnson,Above the Break 3 - Left Side Center(LC),0.3875
Cameron Johnson,Above the Break 3 - Right Side Center(RC),0.41025641025641024
Cameron Johnson,Left Corner 3 - Left Side(L),0.45
Cameron Johnson,Right Corner 3 - Right Side(R),0.5
Cameron Johnson,Starry 3 - Left Side Center(LC),0.75
Cameron Johnson,Starry 3 - Right Side Center(RC),0.3333333333333333
Cameron Johnson,Above the Break 3 - Center(C),0.39344262295081966
Damian Lillard,Above the Break 3 - Center(C),0.38144329896907214
Damian Lillard,Above the Break 3 - Right Side Center(RC),0.37962962962962965
Damian Lillard,Left Corner 3 - Left Side(L),0.5714285714285714
Damian Lillard,Right Corner 3 - Right Side(R),0.3
Damian Lillard,Starry 3 - Left Side Center(LC),0.25
Damian Lillard,Starry 3 - Right Side Center(RC),0.2857142857142857
Damian Lillard,Above the Break 3 - Left Side Center(LC),0.40875912408759124
Darius Garland,Starry 3 - Right Side Center(RC),0.6
Darius Garland,Starry 3 - Left Side Center(LC),0.5555555555555556
Darius Garland,Left Corner 3 - Left Side(L),0.3939393939393939
Darius Garland,Above the Break 3 - Right Side Center(RC),0.4215686274509804
Darius Garland,Above the Break 3 - Left Side Center(LC),0.47474747474747475
Darius Garland,Above the Break 3 - Center(C),0.4024390243902439
Darius Garland,Right Corner 3 - Right Side(R),0.4
Jalen Brunson,Above the Break 3 - Center(C),0.3793103448275862
Jalen Brunson,Left Corner 3 - Left Side(L),0.25
Jalen Brunson,Starry 3 - Right Side Center(RC),0.0
Jalen Brunson,Right Corner 3 - Right Side(R),0.5172413793103449
Jalen Brunson,Starry 3 - Left Side Center(LC),0.1095757357423401
Jalen Brunson,Above the Break 3 - Right Side Center(RC),0.4224137931034483
Jalen Brunson,Above the Break 3 - Left Side Center(LC),0.37349397590361444
Norman Powell,Starry 3 - Right Side Center(RC),0.0
Norman Powell,Right Corner 3 - Right Side(R),0.45
Norman Powell,Left Corner 3 - Left Side(L),0.4482758620689655
Norman Powell,Above the Break 3 - Right Side Center(RC),0.43023255813953487
Norman Powell,Above the Break 3 - Left Side Center(LC),0.4186046511627907
Norman Powell,Above the Break 3 - Center(C),0.44
Norman Powell,Starry 3 - Left Side Center(LC),0.19631179526186038
Tyler Herro,Above the Break 3 - Left Side Center(LC),0.42857142857142855
Tyler Herro,Above the Break 3 - Right Side Center(RC),0.36923076923076925
Tyler Herro,Left Corner 3 - Left Side(L),0.4642857142857143
Tyler Herro,Right Corner 3 - Right Side(R),0.4375
Tyler Herro,Starry 3 - Left Side Center(LC),0.15384615384615385
Tyler Herro,Above the Break 3 - Center(C),0.35172413793103446
Tyler Herro,Starry 3 - Right Side Center(RC),0.5
